අපේ අයියල නටන්නේ හැංගිල ඒක නිසා පේන්නෙ නෑ........,0
මෙයාගෙයි කොණ්ඩයගෙයි අතර වැඩි වෙනසක් නෑ දෙන්නටම තියෙන්නෙ එකම චෝදනා එහෙවි එකේ එහෙම කියන එක වැරදියි....... තමනේ ගේ ඇහේ පොල්පරාල මෙයාට පෙනෙන්නෑ.........,0
ලස්සනයි අනේ..........,0
වැරදි තිබ්බනම් නීතියෙන් බේරගන්න තිබුණ පිරිසක් ඇවිත් කරපු ඝාතනයටනම් කිසිම සමාවක් නොදිය යුතුයි........ වහාම නීතිය ක්‍රියාත්මක කල යුතුයි......... දැන් මේකත් චිකාගෝවක් වීගෙන එන්නෙ........,0
මුන් සිංදු කියන්නෙ අලුත් තැනකින්ද දන්නෑ ඔච්චර ගෙවන්නෙ.....,0
අනේ පව් තොත්ත බබාලා කොණ්ඩයගෙ ඔලුව අතගගා වෙන්නැති ප්‍රශ්න කරන්න ඇත්තෙ...........,0
අම්මේ මුගේ ගනකම.......,0
මෝඩයෙක් ජනාධිපති කරගත්තම මේවගේ පිස්සු කියවල මෝඩ ආතල් දෙනව හිටං....,1
මේ කටු බැල්ලී පොර වෙන්න හදනවා.ඇත්තටම මේ කටු බැල්ලී හැසිරෙන විදිහ හරිම අසෝබනයි. එය කාන්තාවකට ගැලපෙන්නේ නැහැ. ඒ කටු බැල්ලී හරියට ඇදුමක් ඇදගෙන ගියානම් සමහරවිට ඔබ කතා අහන්න වෙන්නෙ නැහැ. එවා පිරිමි ලමයා කියපු දේ එයාට නොරිස්සුවනම් එක පාරක් ගහල ඒක නවත්තන්න තිබුනා ගෑණුකමට අනුකම්පා නොකර මේකිට හතරගාතේ දාලා වැටෙන්න දෙන්නයි තිබුනෙ. බලං හිටපං තොට හම්බවෙයි ඉක්මණින්ම බඩකඩ පිරෙන්නයි. ඌ අහිංසකයෙක් නොවී හරි පිරිමියෙකුට උඹ ඔය විදිහට කලානම් උඹේ දත් වහළු දෙක උඹෙ මහඑවුන්ට අහුලගන්ඩ වෙන්නේ බස් ටෑන්ඩ් එකෙන් තමයි. උඹ අහිංසකයෙකුට හයිය පෙන්නුවාට හිතන්න එපා අනික් පිරිමිත් උඹේ හයියට යටත් වෙයි කියලා.,1
මූ තමයි ප්‍රභාකරන්ගෙ ශුක්‍රාණු හොයන දෙම්පියන්ගෙ ආතල් එකේ ප්‍රතිඵලය කාලකණ්නි මූසලයා.. මුන්ට ජන්දෙ දෙන්න හිතන් ඉන්න එවුනුත් ජාතකේ පරීක්ෂාකරගත්තොත් හොදයි.......,1
මෝඩ මූසලයෝ පුංචි කොල්ලො එක්ක හැප්පෙන්න දාන්නෙ පුංචි කොල්ලන්ව...... පුලුවන්නම් නාමල්ට වඩා ජන්ද අරන් පෙන්නන්න කියපන් සජිත්ට........,1
පලයන් බං යන්න...,0
ඔන්න කොටි හපුච්චා එළියට පැන්නා...........,0
මන්ද බුද්ධික කාලකණ්නියෝ තොපෙ මන්ත්‍රීවරු ඔක්කොම ඇමතිල වෙනකොට උඹල ලැබුණෙ මොනවද නිකම් ඇගිල්ලෙ තරමට ඉදිමියන්..... උඹනෙ බැංකු හොරා එක්ක හෙලුවෙන් ඉන්නෙ..........,1
ඔය කේනදරකාරයන්ගෙන් බහුතරයක් බොරු කාරයෝ......,0
දෙදෙනාටම සුබපැතුම්.........,0
මිනිස්සුන්ට මඩනොගහ ඉදන් ජනාධිපතිත් අට පාස් එකෙක්නෙ......,0
ඔහොම තමයි කරන්න ඕන ළමයි කී දෙනෙක් අමාරුවෙ දාලද........,0
ඇති යන්තම් ඔයින් ගියා....... ජයවේවා.......,0
සැරයටිෙෙන් අපි යෙෙන තුරා,0
සංසාෙේ අපි එකට ඉමු..,0
සංසාෙෙන් අපි සමුගන්නා දා,0
ඒ ගමනත් අපි එකට යමු...................,0
ජනාධිපති ආර්යාවගේ ආගම කතෝලික,0
තණකොළ නෙමෙයි අපිත් දවසකට එකවතාවක් හරි බත් කනවකියල මේ මිනිස්සු දන් නැ වගේ .,0
වාහන කාරෙයා් ෙමා්ල් ෙවන එකක් කරන්න අැති,0
කවුරු රිණ දැම්මත්,0
නන්දිමිත්‍රයා සීගිරියත් කාල තමයි නතරවෙන්නේ....,0
මෙහෙම ගියොත් පාර්ලිමේන්තුවම ඇමතිල වෙලා නතරවෙන්නේ..... ගවපාලනේ බොලව් ගවපාලනේ....,0
බැරි වැඩ නොකරන් සුභාෂ්..... ඕව හැමෝටම බෑ,0
එතකොට අවිආයුද සන්නිවේදන උපකරණත් යැව්වෙ යුද්දෙ නවත්තන්න හිතන් වෙන්ටැති....,0
බටලන්ද වගේ වදකාගාර හදන්නැතුව ගාලුකොටුව වගේ විටිනා ස්ථාන විකුණන්නැතුව හිටියොත් තවත් හොදයි,0
අමුතුවෙන් මොට්ටු තියන්න දෙයක් නෑ බොල...,0
ගල්බෝරේ දාගනින් උබෙ පස්ස පැත්තට,1
අප්පගෙ අඩිපාරේ යන නොට්ටිගෙ පුතා....,1
මුන් වගේ ගැරඩි මරන්න පොරවවල් මොකටද,1
මැරුන එකා මලා අපිට මොකද බං ඌ ජනාධිපතිවත් අගමැතිවත් නෙමෙයිනෙ පොඩි අයි ආර් සී කාරයෙක්නෙ.....,0
මුන්ම තමයි හොරකම් කරල තියෙන්නේ හොරකම් කලේ නෑ කියල තියෙනවනම් වාරණ ඉල්ලයිද........,0
